run,weight,measured
run1,1.400,-18461
run1,2.000,-24498
run1,3.400,-47759
run1,5.000,-131798
run1,11.900,-242294
run2,1.200,-53240
run2,7.600,-223719
run2,9.600,-257718
run2,10.800,-325875
run3,0.200,-6658
run3,0.600,-11622
run3,0.700,-12745
run3,1.100,-98412
run3,1.300,-72329
run3,1.600,-38021
run3,2.000,-51910
run3,2.200,-98449
run3,2.000,-44828
run3,3.000,-67461
run3,4.000,-106721
run3,3.000,-56471
run3,5.000,-104029
run3,6.700,-167382
run3,7.800,-229112
run3,8.500,-218391
run3,9.500,-239251
run3,10.200,-228211
run3,12.100,-226426
run3,13.100,-307678
