weight,measured,fitted,residual
1,36929,29032.77,7896.23
1,33634,29032.77,4601.23
1,36808,29032.77,7775.23
2,51286,50175.03,1110.97
2,56538,50175.03,6362.97
2,69187,50175.03,19011.97
3,66795,71317.3,-4522.3
3,76287,71317.3,4969.7
3,75829,71317.3,4511.7
4,82318,92459.55,-10141.55
4,83340,92459.55,-9119.55
4,80151,92459.55,-12308.55
5,104225,113601.82,-9376.82
5,106177,113601.82,-7424.82
5,108895,113601.82,-4706.82
5,97452,113601.82,-16149.82
6,141302,134744.08,6557.92
6,150120,134744.08,15375.92
7,155964,155886.34,77.66
7,166317,155886.34,10430.66
7,127446,155886.34,-28440.34
8,132841,177028.59,-44187.59
8,164252,177028.59,-12776.59
8,169884,177028.59,-7144.59
9,229393,198170.88,31222.13
9,216303,198170.88,18132.13
9,171827,198170.88,-26343.88
9,218094,198170.88,19923.13
10,252604,219313.13,33290.87
10,214541,219313.13,-4772.13
10,225478,219313.13,6164.88
